TransitionTypeID,TransitionGroupID,IsAuto
Urbanization: Open,Urbanization,
Urbanization: Low,Urbanization,
Urbanization: Medium,Urbanization,
Urbanization: High,Urbanization,
Intensification: Open to Low,Intensification,
Intensification: Open to Medium,Intensification,
Intensification: Open to High,Intensification,
Intensification: Low to Medium,Intensification,
Intensification: Low to High,Intensification,
Intensification: Medium to High,Intensification,
Fire: High Severity,Fire,
Fire: Medium Severity,Fire,
Fire: Low Severity,Fire,
Insect: High Severity,Insect,
Insect: Medium Severity,Insect,
Insect: Low Severity,Insect,
Management: Forest Clearcut,Harvest,
Management: Forest Selection,Harvest,
Management: Forest Selection 85%,Harvest,
Management: Forest Selection 20%,Harvest,
Ag Expansion: Pasture,Ag Expansion,
Ag Expansion: Cropland,Ag Expansion,
Ag Expansion: Orchard,Ag Expansion,
Ag Expansion: Vineyard,Ag Expansion,
Succession: Post Fire Recovery,Succession,
Ag Change: Cropland to Pasture,Ag Change,
Ag Change: Pasture to Cropland,Ag Change,
Ag Contraction: Pasture to Forest: Alder/Maple Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Aspen/Birch Group,Ag Contraction,
Ag Contraction: Pasture to Forest: California Mixed Conifer Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Douglas-fir Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Elm/Ash/Cottonwood Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Exotic Hardwoods Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Exotic Softwoods Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Fir/Spruce/Mountain Hemlock Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Hemlock/Sitka Spruce Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Loblolly/Shortleaf Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Lodgepole Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Longleaf/Slash Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Maple/Beech/Birch Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Oak/Gum/Cypress Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Oak/Hickory Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Oak/Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Other Western Hardwoods Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Other Western Softwood Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Pinyon/Juniper Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Ponderosa Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Redwood Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Spruce/Fir Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Tanoak/Laurel Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Tropical Hardwoods Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Western Larch Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Western Oak Group,Ag Contraction,
Ag Contraction: Pasture to Forest: Western White Pine Group,Ag Contraction,
Ag Contraction: Pasture to Forest: White/Red/Jack Pine Group,Ag Contraction,
